id,report_id,company_id,statement_id,score_id,dimension_id
1,,1,1,1,2
2,,1,2,2,2
3,,1,3,3,3
4,,1,4,4,4
5,,1,5,5,5
6,,1,6,6,1
7,,1,7,7,1
8,,1,8,8,2
9,,1,9,9,2
10,,1,10,10,3
11,,1,11,11,4
12,,1,12,12,5
13,,1,13,13,1
14,,1,14,14,2
15,,1,15,15,2
16,,1,16,16,4
17,,1,17,17,1
18,,1,18,18,1
19,,1,19,19,1
20,,1,20,20,2
21,,1,21,21,3
22,,1,22,22,4
23,,1,23,23,1
24,,1,24,24,1
25,,1,25,25,2
26,,1,26,26,3
27,,1,27,27,3
28,,1,28,28,4
29,,1,29,29,5
30,,1,30,30,3
31,,1,31,31,1
32,,1,32,32,3
33,,1,33,33,5
34,,1,34,34,1
35,,1,35,35,2
36,,1,36,36,3
37,,1,37,37,4
38,,1,38,38,5
39,,1,39,39,1
40,,1,40,40,3
41,,1,41,41,2
42,,1,42,42,3
43,,1,43,43,1
44,,1,44,44,3
45,,1,45,45,2
46,,1,46,46,1
47,,1,47,47,2
48,,1,48,48,4
49,,1,49,49,3
50,,1,50,50,2
51,,1,51,51,4
52,,1,52,52,5
53,,1,53,53,5
54,,1,54,54,1
55,,1,55,55,4
56,,1,56,56,4
57,,1,57,57,1
58,,1,58,58,2
59,,1,59,59,4
60,,1,60,60,6
61,,2,1,61,2
62,,2,2,62,2
63,,2,3,63,3
64,,2,4,64,4
65,,2,5,65,5
66,,2,6,66,1
67,,2,7,67,1
68,,2,8,68,2
69,,2,9,69,2
70,,2,10,70,3
71,,2,11,71,4
72,,2,12,72,5
73,,2,13,73,1
74,,2,14,74,2
75,,2,15,75,2
76,,2,16,76,4
77,,2,17,77,1
78,,2,18,78,1
79,,2,19,79,1
80,,2,20,80,2
81,,2,21,81,3
82,,2,22,82,4
83,,2,23,83,1
84,,2,24,84,1
85,,2,25,85,2
86,,2,26,86,3
87,,2,27,87,3
88,,2,28,88,4
89,,2,29,89,5
90,,2,30,90,3
91,,2,31,91,1
92,,2,32,92,3
93,,2,33,93,5
94,,2,34,94,1
95,,2,35,95,2
96,,2,36,96,3
97,,2,37,97,4
98,,2,38,98,5
99,,2,39,99,1
100,,2,40,100,3
101,,2,41,101,2
102,,2,42,102,3
103,,2,43,103,1
104,,2,44,104,3
105,,2,45,105,2
106,,2,46,106,1
107,,2,47,107,2
108,,2,48,108,4
109,,2,49,109,3
110,,2,50,110,2
111,,2,51,111,4
112,,2,52,112,5
113,,2,53,113,5
114,,2,54,114,1
115,,2,55,115,4
116,,2,56,116,4
117,,2,57,117,1
118,,2,58,118,2
119,,2,59,119,4
120,,2,60,120,6
121,,3,1,121,2
122,,3,2,122,2
123,,3,3,123,3
124,,3,4,124,4
125,,3,5,125,5
126,,3,6,126,1
127,,3,7,127,1
128,,3,8,128,2
129,,3,9,129,2
130,,3,10,130,3
131,,3,11,131,4
132,,3,12,132,5
133,,3,13,133,1
134,,3,14,134,2
135,,3,15,135,2
136,,3,16,136,4
137,,3,17,137,1
138,,3,18,138,1
139,,3,19,139,1
140,,3,20,140,2
141,,3,21,141,3
142,,3,22,142,4
143,,3,23,143,1
144,,3,24,144,1
145,,3,25,145,2
146,,3,26,146,3
147,,3,27,147,3
148,,3,28,148,4
149,,3,29,149,5
150,,3,30,150,3
151,,3,31,151,1
152,,3,32,152,3
153,,3,33,153,5
154,,3,34,154,1
155,,3,35,155,2
156,,3,36,156,3
157,,3,37,157,4
158,,3,38,158,5
159,,3,39,159,1
160,,3,40,160,3
161,,3,41,161,2
162,,3,42,162,3
163,,3,43,163,1
164,,3,44,164,3
165,,3,45,165,2
166,,3,46,166,1
167,,3,47,167,2
168,,3,48,168,4
169,,3,49,169,3
170,,3,50,170,2
171,,3,51,171,4
172,,3,52,172,5
173,,3,53,173,5
174,,3,54,174,1
175,,3,55,175,4
176,,3,56,176,4
177,,3,57,177,1
178,,3,58,178,2
179,,3,59,179,4
180,,3,60,180,6
181,,4,1,181,2
182,,4,2,182,2
183,,4,3,183,3
184,,4,4,184,4
185,,4,5,185,5
186,,4,6,186,1
187,,4,7,187,1
188,,4,8,188,2
189,,4,9,189,2
190,,4,10,190,3
191,,4,11,191,4
192,,4,12,192,5
193,,4,13,193,1
194,,4,14,194,2
195,,4,15,195,2
196,,4,16,196,4
197,,4,17,197,1
198,,4,18,198,1
199,,4,19,199,1
200,,4,20,200,2
201,,4,21,201,3
202,,4,22,202,4
203,,4,23,203,1
204,,4,24,204,1
205,,4,25,205,2
206,,4,26,206,3
207,,4,27,207,3
208,,4,28,208,4
209,,4,29,209,5
210,,4,30,210,3
